Update,Num Timesteps,FPS,Mean Reward,Median Reward,Min Reward,Max Reward,Dist Entropy,Value Loss,Action Loss
1251,4006400,1278,27.5451074,27.9668395,18.976724,31.485737,2.837877035140991,30.97532507032156,-0.039687000835328945
1252,4009600,1278,28.018270399999995,27.48317,25.373334,31.614823,2.837877035140991,31.692129746079445,-0.038298860997429074
1253,4012800,1278,27.8108032,28.066805000000002,23.20419,33.390039,2.837877035140991,30.615882202982903,-0.040900626951042796
1254,4016000,1279,27.265630499999997,27.6677465,18.707651,34.022723,2.837877035140991,30.87727577984333,-0.04190442487129076
1255,4019200,1279,30.168959800000003,29.879872,22.994725,36.517392,2.837877035140991,30.133356615900993,-0.03843950361056159
1256,4022400,1279,31.0389408,31.2899155,27.58118,35.718814,2.837877035140991,32.97598673403263,-0.04113738708129233
1257,4025600,1279,28.563163799999995,28.567885,23.54611,32.476535,2.837877035140991,32.690381936728954,-0.04375817950142391
1258,4028800,1279,28.158158800000002,28.1808005,21.433011,35.816827,2.837877035140991,32.504705518484116,-0.04213029016807468
1259,4032000,1280,28.143728,28.4322995,22.862649,34.396579,2.837877035140991,30.924446903169155,-0.043155304743208944
1260,4035200,1280,27.5937093,26.568611500000003,24.472776,33.026001,2.837877035140991,30.743105567991734,-0.04153366857644869
1261,4038400,1279,28.801331700000002,28.7944955,23.129026,35.765579,2.837877035140991,30.896843127906322,-0.03892326214661068
1262,4041600,1279,30.040101,30.084789999999998,26.520522,35.301048,2.837877035140991,31.054637014865875,-0.04136090170823081
1263,4044800,1279,28.522727599999996,28.296115,23.37559,33.788277,2.837877035140991,30.7812347561121,-0.042132721588018285
1264,4048000,1279,29.7505172,28.9883515,23.863745,36.180855,2.837877035140991,30.970494374632835,-0.03980768890359343
1265,4051200,1279,28.3207997,28.8465975,20.551592,31.268152,2.837877035140991,31.876420632004738,-0.04029215411031828
1266,4054400,1279,28.3546988,27.547828000000003,23.295345,34.985545,2.837877035140991,31.401353053748608,-0.039939143302149205
1267,4057600,1279,28.9486354,29.120846,25.764539,32.748504,2.837877035140991,31.795941181480885,-0.04339887296555389
1268,4060800,1279,25.8492162,24.671819,23.551223,30.334074,2.837877035140991,29.776451632380486,-0.04201487258387715
1269,4064000,1280,27.256379300000003,28.2164385,18.891399,32.441616,2.837877035140991,30.55854954570532,-0.03989614176168743
1270,4067200,1280,30.4096836,30.080252,28.020781,32.39052,2.837877035140991,31.264408618211746,-0.04245823534847659
1271,4070400,1280,29.4648788,29.05512,24.793839,35.369523,2.837877035140991,30.254680685698986,-0.040799300263699934
